Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Heart Rate (count/min),Respiratory Rate (count/min),Steps (count)
18-Jan-2016 12:00,18-Jan-2016 13:00,0.0,0.102238541412116,0.0,0.0,0.0,207.401001497493
18-Jan-2016 13:00,18-Jan-2016 14:00,0.0,0.312452164863216,0.0,0.0,0.0,673.598998502507
18-Jan-2016 14:00,18-Jan-2016 15:00,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2016 15:00,18-Jan-2016 16:00,0.0,0.0373071263819255,0.0,0.0,0.0,81.0
18-Jan-2016 16:00,18-Jan-2016 17:00,0.0,0.030428547283863,0.0,0.0,0.0,67.0
18-Jan-2016 17:00,18-Jan-2016 18:00,0.0,0.0883341286884548,0.0,0.0,0.0,192.0
18-Jan-2016 18:00,18-Jan-2016 19:00,0.0,0.0,0.0,0.0,0.0,0.0
18-Jan-2016 19:00,18-Jan-2016 20:00,0.0,0.134458512288232,0.0,0.0,0.0,290.0
18-Jan-2016 20:00,18-Jan-2016 21:00,0.0,0.00203809751053773,0.0,0.0,0.0,8.0
18-Jan-2016 21:00,18-Jan-2016 22:00,0.0,0.0152049530740483,0.0,0.0,0.0,41.0
18-Jan-2016 22:00,18-Jan-2016 23:00,0.0,0.0486098683687218,0.0,0.0,0.0,100.0
18-Jan-2016 23:00,19-Jan-2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 00:00,19-Jan-2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 01:00,19-Jan-2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 02:00,19-Jan-2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 03:00,19-Jan-2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 04:00,19-Jan-2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 05:00,19-Jan-2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 06:00,19-Jan-2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 07:00,19-Jan-2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 08:00,19-Jan-2016 09:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 09:00,19-Jan-2016 10:00,0.0,0.609121942777662,0.0,0.0,0.0,1379.10440316983
19-Jan-2016 10:00,19-Jan-2016 11:00,0.0,0.471660040440319,2.0,0.0,0.0,1434.89559683017
19-Jan-2016 11:00,19-Jan-2016 12:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 12:00,19-Jan-2016 13:00,0.0,0.972501839258709,1.0,0.0,0.0,2306.0
19-Jan-2016 13:00,19-Jan-2016 14:00,0.0,0.171175548133368,1.0,0.0,0.0,362.112262320758
19-Jan-2016 14:00,19-Jan-2016 15:00,0.0,0.052890903787405,4.0,0.0,0.0,111.887737679242
19-Jan-2016 15:00,19-Jan-2016 16:00,0.0,0.489000487155015,1.0,0.0,0.0,1150.0
19-Jan-2016 16:00,19-Jan-2016 17:00,0.0,0.442624133419739,0.0,0.0,0.0,982.588863938215
19-Jan-2016 17:00,19-Jan-2016 18:00,0.0,0.0185513517468961,0.0,0.0,0.0,39.4111360617853
19-Jan-2016 18:00,19-Jan-2016 19:00,0.0,0.316228227153418,0.0,0.0,0.0,683.0
19-Jan-2016 19:00,19-Jan-2016 20:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 20:00,19-Jan-2016 21:00,0.0,0.696960997772979,2.0,0.0,0.0,1512.0
19-Jan-2016 21:00,19-Jan-2016 22:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 22:00,19-Jan-2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0
19-Jan-2016 23:00,20-Jan-2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0
20-Jan-2016 00:00,20-Jan-2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0
20-Jan-2016 01:00,20-Jan-2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0
20-Jan-2016 02:00,20-Jan-2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0
20-Jan-2016 03:00,20-Jan-2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0
20-Jan-2016 04:00,20-Jan-2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0
20-Jan-2016 05:00,20-Jan-2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0
20-Jan-2016 06:00,20-Jan-2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0
20-Jan-2016 07:00,20-Jan-2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0
20-Jan-2016 08:00,20-Jan-2016 09:00,0.0,0.411726876777424,0.0,0.0,0.0,953.463822441758
20-Jan-2016 09:00,20-Jan-2016 10:00,0.0,0.0716750559355475,0.0,0.0,0.0,163.536177558242
20-Jan-2016 10:00,20-Jan-2016 11:00,0.0,0.641149437286247,2.0,0.0,0.0,1405.0
20-Jan-2016 11:00,20-Jan-2016 12:00,0.0,0.112480613218798,1.0,0.0,0.0,243.0
20-Jan-2016 12:00,20-Jan-2016 13:00,0.0,0.899329167660873,2.0,0.0,0.0,1953.0
20-Jan-2016 13:00,20-Jan-2016 14:00,0.0,1.05323951349242,3.0,0.0,0.0,2357.79615498724
20-Jan-2016 14:00,20-Jan-2016 15:00,0.0,0.416377920691977,3.0,0.0,0.0,935.203845012761
20-Jan-2016 15:00,20-Jan-2016 16:00,0.0,0.134154040404028,0.0,0.0,0.0,291.0
20-Jan-2016 16:00,20-Jan-2016 17:00,0.0,0.193112932949289,2.0,0.0,0.0,403.940092920346
20-Jan-2016 17:00,20-Jan-2016 18:00,0.0,0.239582791324489,3.0,0.0,0.0,506.221295310061
20-Jan-2016 18:00,20-Jan-2016 19:00,0.0,0.376857104449453,1.0,0.0,0.0,818.453355972815
20-Jan-2016 19:00,20-Jan-2016 20:00,0.0,0.0502881996709106,0.0,0.0,0.0,86.3852557967777
20-Jan-2016 20:00,20-Jan-2016 21:00,0.0,0.0910681619343,0.0,0.0,0.0,193.0
20-Jan-2016 21:00,20-Jan-2016 22:00,0.0,0.141635349558584,2.0,0.0,0.0,301.0
20-Jan-2016 22:00,20-Jan-2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0
20-Jan-2016 23:00,21-Jan-2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2016 00:00,21-Jan-2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2016 01:00,21-Jan-2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2016 02:00,21-Jan-2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2016 03:00,21-Jan-2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2016 04:00,21-Jan-2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2016 05:00,21-Jan-2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2016 06:00,21-Jan-2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2016 07:00,21-Jan-2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2016 08:00,21-Jan-2016 09:00,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2016 09:00,21-Jan-2016 10:00,0.0,0.715711156125416,0.0,0.0,0.0,1520.90170353592
21-Jan-2016 10:00,21-Jan-2016 11:00,0.0,0.349735386068245,0.0,0.0,0.0,741.098296464082
